PANTUN,PENGARANG,HIMPUNAN,TEMA,JENIS,RIMA_TENGAH_1,RIMA_TENGAH_2,RIMA_TENGAH_3,RIMA_TENGAH_4,RIMA_AKHIR_1,RIMA_AKHIR_2,RIMA_AKHIR_3,RIMA_AKHIR_4,MARKAH,PERKATAAN
"Bersiar-siar di pantai Sentosa, Lapang fikiran sihat badan;      Menguar-uar pandai senantiasa,      Tempang jalan cacat penampilan.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,ar,ran,ar,lan,sa,dan,sa,lan,20.0,"Menguar-uar, cacat, badan;, sihat, pandai, Lapang, senantiasa,, Sentosa,, jalan, Tempang, Bersiar-siar, di, pantai, penampilan., fikiran"
"Pameran di Pusat Dagangan Dunia, Membawa barangan bermacam aneka;      Pengaruh dahsyat merentang bahaya,      Menjerat keinginan beragam leka.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,sat,ngan,syat,,a,ka,ya,ka,20.0,"Membawa, Pusat, keinginan, Dunia,, barangan, aneka;, Dagangan, merentang, Pameran, Menjerat, dahsyat, beragam, Pengaruh, leka., bahaya,, di, bermacam"
"Melawat Chinatown terhidu bijan, Suasana meriah di setiap rumah;      Merawat bentan rasa perkauman,       Warna darah tetap merah.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,town,ah,tan,rah,jan,mah,man,rah,14.0,"merah., tetap, rumah;, terhidu, bijan,, bentan, darah, rasa, meriah, Chinatown, setiap, perkauman,, Warna, Suasana, di, Merawat, Melawat"
"Singgah seketika di Little India,  Aroma kari dan harum kembang;      Sanggah membuta beria-ia,      Norma diri belum matang.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,ka,ri,ta,ri,a,bang,a,tang,17.0,"Sanggah, belum, matang., India,, harum, kembang;, Norma, kari, Aroma, diri, Singgah, beria-ia,, dan, seketika, di, Little, membuta"
"Di Geylang Serai Melayu kembali, Di kedai makan dan pasar basah;      Sebelum bercerai berputus tali,      Dipakai iman persalinan fitrah.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,rai,kan,rai,man,li,sah,li,rah,21.0,"bercerai, iman, berputus, persalinan, pasar, fitrah., Geylang, kedai, tali,, makan, basah;, dan, Sebelum, Melayu, Dipakai, Di, kembali,, Serai"
"Di Kampong Glam tersergam istana, Peninggalan Sultan kini dimuziumkan;      Masa yang silam tetap berguna,      Asas pelajaran bergilir zaman.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,glam,tan,lam,ran,na,kan,na,man,16.0,"yang, berguna,, pelajaran, tersergam, bergilir, Asas, silam, zaman., Sultan, kini, istana,, Di, Kampong, Peninggalan, tetap, Masa, Glam, dimuziumkan;"
"Lapangan terbang kota tersendiri, Segala kemudahan telah disediakan;      Sebelum berpulang ke persada abadi,      Cukupkan amalan sebagai bekalan.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,bang,han,lang,lan,ri,kan,di,lan,13.0,"ke, amalan, berpulang, terbang, kemudahan, telah, abadi,, tersendiri,, Segala, bekalan., persada, Cukupkan, disediakan;, Sebelum, Lapangan, kota, sebagai"
"Tersedia lengkap hotel tumpangan, Menampung pelawat dalam dan luar;       Bersedia cekap turun ke lapangan      Menjunjung amanat salam ditebar.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,kap,wat,kap,nat,ngan,ar,ngan,bar,21.0,"tumpangan,, dalam, ke, lapangan, amanat, Bersedia, Menjunjung, turun, salam, pelawat, Menampung, cekap, ditebar., luar;, hotel, dan, lengkap, Tersedia"
"Rangkaian lorong gelap Geylang, Kancah melempiaskan nafsu serakah;      Keperibadian lopong gelap bersarang,      Mudah membiarkan semu bermukah.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,rong,kan,an,kan,lang,kah,rang,kah,17.0,"membiarkan, Keperibadian, Rangkaian, Geylang,, bersarang,, semu, serakah;, lorong, Mudah, gelap, bermukah., Kancah, melempiaskan, nafsu, lopong"
"Hujung tahun bonus dinanti,  Buat lunas cukai pendapatan;       Harapan dihimpun ditunggu pasti,      Sedang bertunas dicantas jangan.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,hun,nas,pun,nas,ti,tan,ti,ngan,20.0,"jangan., Buat, pendapatan;, ditunggu, dicantas, Hujung, Harapan, lunas, pasti,, Sedang, bonus, dihimpun, bertunas, tahun, dinanti,, cukai"
"Setiap bulan sebahagian gaji, Dicarum buat dana masadepan;      Seluruh pulangan usaha duniawi,      Perlu diniatkan buat kebangkitan.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,lan,at,ngan,kan,ji,pan,wi,tan,14.0,"pulangan, masadepan;, bulan, dana, gaji,, duniawi,, Seluruh, usaha, diniatkan, Dicarum, Setiap, Perlu, kebangkitan., sebahagian, buat"
"Masa susah ditanggung rakyat, Pemerintah hulur rebat perbelanjaan;      Betapa payah menjunjung akhirat,      Biar betah tutur dan perbuatan.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,sah,lur,yah,tur,yat,an,rat,tan,14.0,"rakyat,, hulur, tutur, payah, Pemerintah, dan, perbuatan., betah, menjunjung, akhirat,, Biar, rebat, perbelanjaan;, ditanggung, Betapa, Masa, susah"
"Dahulu memakai telefon berdial, Kini menggunakan telefon bijak;      Dungu merungkai terkial-kial,      Dengan pendidikan hidup dianjak.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,kai,kan,kai,kan,al,jak,al,jak,23.0,"Dengan, memakai, hidup, merungkai, terkial-kial,, pendidikan, berdial,, Kini, telefon, Dahulu, dianjak., bijak;, menggunakan, Dungu"
"Kecerdasan buatan mengambil alih, Urusan penciptaan dan kawalan insan;      Ketulusan tindakan kini disisih,      Sebagai ukuran pada kejayaan.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,tan,an,kan,ran,lih,san,sih,an,14.0,"Urusan, mengambil, kawalan, insan;, buatan, ukuran, tindakan, kejayaan., disisih,, Kecerdasan, penciptaan, kini, pada, dan, Sebagai, alih,, Ketulusan"
"Kereta khabarnya boleh terbang, Robot bertambah cerdik dan canggih;      Nista sifatnya senantiasa menentang,      Ribut memecah permukaan buih.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,nya,bah,nya,cah,bang,gih,tang,ih,15.0,"sifatnya, senantiasa, menentang,, Ribut, buih., terbang,, cerdik, permukaan, Robot, canggih;, Nista, boleh, Kereta, memecah, khabarnya, dan, bertambah"
"App mengatur rangkaian kehidupan,  Tekonologi canggih memudah cara;      Jiwa dibentur rantaian gangguan,      Pendirian bersih indah diselenggara.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,tur,gi,tur,sih,pan,ra,an,ra,17.0,"mengatur, rangkaian, cara;, bersih, gangguan,, Pendirian, memudah, App, Tekonologi, canggih, indah, diselenggara., dibentur, Jiwa, kehidupan,, rantaian"
"Realiti maya merubah tanggapan, Dunia lahiriah dapat dipadankan;      Sisi gaya merubah penampilan,      Ciri rohaniah tetap dipertahankan.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,ya,ah,ya,ah,pan,kan,lan,kan,18.0,"Ciri, Sisi, penampilan,, gaya, tanggapan,, rohaniah, merubah, dipertahankan., dipadankan;, Dunia, lahiriah, maya, tetap, dapat, Realiti"
"Orang Eropah serta Peranakan, Memilih Katong menebar budaya;      Hidup ditempah dengan keyakinan,      Membenih untung mengakar upaya.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,pah,tong,pah,tung,kan,ya,,ya,24.0,"Hidup, Memilih, serta, budaya;, Membenih, dengan, menebar, Katong, ditempah, untung, Eropah, keyakinan,, mengakar, Peranakan,, upaya., Orang"
"Dahulu berhubung dengan surat, Di skrin komputer kini bersapa;      Sungguh beruntung menyelam makrifat,      Sekelip mata sudah berjumpa.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,bung,ter,tung,ta,rat,pa,fat,pa,19.0,"surat,, Sungguh, berhubung, mata, komputer, sudah, dengan, Sekelip, Dahulu, beruntung, kini, bersapa;, menyelam, berjumpa., Di, skrin, makrifat,"
"Simpan maklumat di cakra padat, Kini dikumpul di platform awanan;      Dunia dilihat sekadar kelibat,      Rindu berkumpul di Hari Pembalasan.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,mat,pul,hat,di,dat,,bat,san,18.0,"dilihat, dikumpul, cakra, Pembalasan., Simpan, awanan;, kelibat,, Rindu, Hari, Kini, Dunia, platform, berkumpul, sekadar, padat,, di, maklumat"
"Bandar hijau wawasan jauh, Alam subur di samping pembangunan;      Pemikiran kacau jika ditempuh,      Sekadar mengubur bukan menghidupkan.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,jau,di,cau,bur,uh,,puh,kan,17.0,"kacau, subur, Sekadar, ditempuh,, Bandar, hijau, Pemikiran, menghidupkan., pembangunan;, Alam, wawasan, mengubur, bukan, di, jauh,, jika, samping"
"Dari sembilan hingga ke lima, Rutin bekerja selama seminggu;      Diri terkilan begitu lama,      Mesin didera sehingga dungu.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,lan,ja,lan,ra,ma,gu,ma,ngu,21.0,"Diri, selama, Mesin, sehingga, lama,, didera, hingga, Rutin, terkilan, sembilan, seminggu;, begitu, lima,, bekerja, dungu., ke, Dari"
"Suami isteri bekerja keras, Menampung biaya tuntutan hidup;      Jarang memberi sedekah ikhlas,      Tidakkan kaya jiwa menguncup.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,ri,ya,ri,ya,ras,dup,las,cup,21.0,"isteri, keras,, biaya, ikhlas,, memberi, hidup;, Tidakkan, Menampung, sedekah, kaya, tuntutan, Jarang, jiwa, menguncup., Suami, bekerja"
"Lif rosak naik tangga, Dari kolong ke tingkat atas;      Dada sesak tidak terhingga,      Diri berbohong peringkat culas.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,sak,long,sak,hong,ga,tas,ga,las,16.0,"Diri, rosak, kolong, tangga,, Lif, tingkat, sesak, berbohong, peringkat, naik, Dada, tidak, atas;, terhingga,, culas., ke, Dari"
"Bersiar indah kota gemilang, Mudah lupa masa beralih;      Tersasar lidah tidak bertulang,      Madah serupa kaca serpih.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,dah,pa,dah,pa,lang,lih,lang,pih,21.0,"lupa, beralih;, serpih., masa, Madah, gemilang,, serupa, kaca, Bersiar, lidah, indah, bertulang,, tidak, Mudah, Tersasar, kota"
"Naik teksi berhawa dingin, Perjalanan bas biasa lambat;      Suka beraksi nafsu teringin,      Usah terbabas bisa mudarat.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,si,bas,si,bas,ngin,bat,ngin,rat,22.0,"bas, Usah, Naik, terbabas, beraksi, berhawa, bisa, nafsu, dingin,, biasa, mudarat., teringin,, lambat;, Suka, teksi, Perjalanan"
"Bekerja di pejabat siang dan malam, Mencari duit melunas hutang;      Berniat jahat walang berdendam,      Jiwa sempit lemas digalang.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,bat,it,hat,pit,lam,tang,dam,lang,17.0,"malam,, lemas, melunas, hutang;, jahat, berdendam,, sempit, Berniat, Mencari, Jiwa, walang, siang, digalang., dan, pejabat, di, duit, Bekerja"
"Naik MRT tukar bas, Dari kota ke rumah sendiri;      Berhati-hati bertukar asas,      Dari mengata berbenah diri.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,mrt,ke,ti,ta,bas,ri,sas,ri,14.0,"rumah, Naik, ke, bas,, mengata, asas,, sendiri;, tukar, Berhati-hati, MRT, bertukar, berbenah, kota, Dari, diri."
"Kadang-kadang MRT rosak, Para penumpang berang gelisah;      Kadang-kadang hati bergejolak,      Di kala bimbang menanggung susah.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,dang,pang,dang,bang,sak,sah,lak,sah,16.0,"berang, Kadang-kadang, penumpang, bergejolak,, kala, hati, Para, gelisah;, MRT, bimbang, menanggung, susah., Di, rosak,"
"Stesen MRT dirancang lokasi, Pusat bandar kawasan perumahan;      Ruang hati terang terisi,      Sarat pendar ihsan dan iman.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,mrt,dar,ti,dar,si,han,si,man,21.0,"lokasi,, Pusat, ihsan, terisi,, iman., kawasan, hati, Sarat, dirancang, Ruang, MRT, dan, terang, perumahan;, Stesen, pendar, bandar"
"MRT terang insan berpencar, Suasana gelap masuk terowong;      Hati riang iman bersinar,      Bertukar malap dirasuk bohong.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,rang,lap,ang,lap,car,wong,nar,hong,15.0,"masuk, bohong., insan, malap, dirasuk, Hati, Bertukar, gelap, riang, MRT, terowong;, terang, Suasana, iman, bersinar,, berpencar,"
"Naik bas penuh sesak, Tempat duduk tiada yang kosong;      Niat membalas gopoh bertindak,      Kesumat terperuk jiwa terpesong.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,bas,duk,las,ruk,sak,song,dak,song,15.0,"bas, yang, Naik, penuh, Tempat, Kesumat, terpesong., gopoh, membalas, duduk, jiwa, tiada, kosong;, bertindak,, sesak,, Niat, terperuk"
"Estet kejiranan rumah pangsa, Antara penduduk sering bersendirian;      Terhimpit perasaan jiwa diseksa,      Antara merajuk dengan ketinggalan.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,,duk,an,juk,sa,an,sa,lan,16.0,"rumah, Estet, pangsa,, bersendirian;, ketinggalan., sering, dengan, jiwa, merajuk, diseksa,, Antara, penduduk, Terhimpit, kejiranan, perasaan"
"Gegas perjalanan ke tujuan akhir, Kenderaan tersekat di lalu lintas;      Ikhlas ukuran tindakan zahir,      Kehinaan tercatat minta dibalas.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,,kat,ran,tat,khir,tas,hir,las,18.0,"Kehinaan, tercatat, tersekat, Gegas, lalu, Ikhlas, zahir,, dibalas., ukuran, tindakan, akhir,, perjalanan, tujuan, minta, di, ke, lintas;, Kenderaan"
"Ciri majmuk kota kosmopolitan, Antara puak menjaga kerukunan;      Hati berkecamuk kata bercanggahan.      Menuntut hak serta keistimewaan.",Isa Kamari,Derap Kota Isa Kamari,Kota,Pantun Moden,ta,ak,muk,ta,tan,,han,an,18.0,"Ciri, serta, Hati, keistimewaan., puak, majmuk, hak, Antara, kosmopolitan,, Menuntut, kerukunan;, berkecamuk, kata, bercanggahan., menjaga, kota"
"Menaiki bas sungguhlah sesak, mana ceruk tiada yang kosong; Niat terbabas gopoh bertindak, dendam terperuk jiwa terpesong.",Isa Kamari,Derap Kota Isa Kamari,Kota,4 Kerat,bas,ruk,bas,ruk,sak,song,dak,song,23.0,"bas, sungguhlah, yang, terbabas, terpesong., ceruk, gopoh, Menaiki, tiada, terperuk, jiwa, kosong;, bertindak,, sesak,, dendam, Niat, mana"
"MRT terang insan berpencar, Suasana gelap masuk terowong; Hati riang iman bersinar, Bertukar malap dirasuk bohong.",Isa Kamari,Derap Kota Isa Kamari,Kota,4 Kerat,rang,lap,ang,lap,car,wong,nar,hong,15.0,"masuk, bohong., insan, malap, dirasuk, Hati, Bertukar, gelap, riang, MRT, terowong;, terang, Suasana, iman, bersinar,, berpencar,"
"Ciri majmuk kota kosmopolitan, Antara puak menjaga kerukunan; Hati berkecamuk kata bercanggahan. Menuntut hak serta keistimewaan.",Isa Kamari,Derap Kota Isa Kamari,Kota,4 Kerat,ta,ak,muk,ta,tan,,han,an,18.0,"Ciri, serta, Hati, keistimewaan., puak, majmuk, hak, Antara, kosmopolitan,, Menuntut, kerukunan;, berkecamuk, kata, bercanggahan., menjaga, kota"
"Estet kejiranan rumah pangsa, Antara penduduk sering bersendirian; Terhimpit perasaan jiwa diseksa, Antara merajuk dengan ketinggalan.",Isa Kamari,Derap Kota Isa Kamari,Kota,4 Kerat,,duk,an,juk,sa,an,sa,lan,16.0,"rumah, Estet, pangsa,, bersendirian;, ketinggalan., sering, dengan, jiwa, merajuk, diseksa,, Antara, penduduk, Terhimpit, kejiranan, perasaan"
"Gegas perjalanan ke tujuan akhir, Kenderaan tersekat di lalu lintas; Ikhlas ukuran tindakan zahir, Kehinaan tercatat minta dibalas.",Isa Kamari,Derap Kota Isa Kamari,Kota,4 Kerat,,kat,ran,tat,khir,tas,hir,las,18.0,"Kehinaan, tercatat, tersekat, Gegas, lalu, Ikhlas, zahir,, dibalas., ukuran, tindakan, akhir,, perjalanan, tujuan, minta, di, ke, lintas;, Kenderaan"
"Ditebar-tebar sayapnya angsa, parang dikepit nampaklah ulu; Tersenyum lebar sepanjang masa, dijangkit Covid orang tak tahu.",CG Karmin Abbas,Himpunan Pantun CG Karmin,Covid,Guran,bar,pit,bar,vid,sa,lu,sa,hu,24.0,"Covid, dijangkit, masa,, tak, angsa,, Tersenyum, lebar, parang, dikepit, sayapnya, nampaklah, Ditebar-tebar, tahu., orang, ulu;, sepanjang"
"Di tengah pekan ramai penjaja, lauknya hangat berdapur arang;  Ketika makan minum semeja, kitapun ingat yang sorang-sorang.",CG Karmin Abbas,Himpunan PAntun CG Karmin Abbas,Puasa,BErbuka,kan,ngat,kan,ngat,ja,rang,ja,rang,25.0,"yang, berdapur, ingat, arang;, ramai, lauknya, kitapun, pekan, penjaja,, tengah, makan, hangat, Ketika, semeja,, minum, sorang-sorang., Di"
"Menggemal-gemal sulur di kali, sebelum alum hantar seberang; Cuba amal sikap peduli, agar maklum masalah orang.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Peduli,Nasihat,mal,lum,mal,lum,li,rang,li,rang,25.0,"hantar, orang., agar, alum, peduli,, seberang;, masalah, maklum, Menggemal-gemal, Cuba, kali,, sebelum, sulur, di, amal, sikap"
"Merah menyala isi tembikai, gulai gurami ulam penggaga; Kitar semula barang terpakai, semoga bumi kelak terjaga.",CG Karmin Abbas,Pertandingan Pantun Negeri Sembilan 2022,Penjagaan Alam Sekitar,Kitar semula,la,mi,la,mi,kai,ga,kai,ga,25.0,"bumi, terjaga., isi, Kitar, terpakai,, semoga, Merah, ulam, menyala, gulai, semula, barang, kelak, penggaga;, tembikai,, gurami"
"Megah berdiri takhta adipati, Bersiul kenari diiring irama, Panorama pertiwi terbentang bersemi, Khazanah dipelihara peranan bersama.",NURUL AIN SYUHADA BINTI ZUL HUSNI SEREMBAN 2,Penggemar Pantun,Sayangi Alam Sekitar,Jagalah alam sekitar,ri,ri,wi,ra,ti,ma,mi,ma,15.0,"dipelihara, bersama., Bersiul, berdiri, diiring, terbentang, Khazanah, pertiwi, Panorama, bersemi,, irama,, peranan, Megah, adipati,, kenari, takhta"
"Pergi ke kota membeli bunga , Bunga dibeli mekar sekali ; Alam sekitar hendaklah dijaga , Semoga hidup sentiasa diberkahi .",NURDINIBATRISYIABINTIMOHDSUKORJEMPOLJELEBU,Penggemar Pantun,JAGALAH ALAM SEKITAR,JAGALAH ALAM SEKITAR/JAGALAH BUMI KITA,ta,li,tar,dup,nga,li,ga,hi,14.0,"sentiasa, hendaklah, mekar, Alam, sekitar, dijaga, ke, membeli, ;, ,, Semoga, ., bunga, hidup, dibeli, Pergi, sekali, Bunga, diberkahi, kota"
"Dunia dan manusia sentiasa bersatu, Langit indah laksana gempita, Hidup kita saling membantu, Bersama-sama menjaga bumi kita.",Nurnafisah binti abdullah,Penggemar Pantun,Sayangilah alam sekitar,Jagalah bumi kita,sia,dah,ta,ma,tu,ta,tu,ta,17.0,"sentiasa, Hidup, kita., membantu,, gempita,, kita, bersatu,, Bersama-sama, indah, saling, Dunia, manusia, dan, bumi, menjaga, laksana, Langit"
"Pohon segar di hutan belantara, Sinar mentari menghiasi mata, Alam sekitar perlu dipelihara, Agar dinikmati generasi muda",NURDAMIAHUSNABINTISAIFULAZUARSMKASHAMS,Penggemar Pantun,SAYANGI ALAM SEKITAR,PANTUN 4 KERAT,di,ri,tar,ti,ra,ta,ra,da,21.0,"hutan, segar, muda, generasi, Pohon, Agar, mata,, belantara,, Alam, sekitar, menghiasi, Sinar, mentari, perlu, dinikmati, di, dipelihara,"
"Orang Iban mahupun Bajau, Di atas bumi kita berjlan, Meminimumkan kesan rumah hijau, Melakar negara yang bebas kotoran",SITINURZUNAIRAHSMKASHAMS,Penggemar Pantun,SAYANGI ALAM SEKITAR,PANTUN 4 KERAT,ban,mi,kan,ra,jau,jlan,jau,ran,20.0,"rumah, hijau,, Iban, negara, Meminimumkan, yang, Bajau,, kita, bebas, kotoran, kesan, mahupun, berjlan,, bumi, atas, Di, Melakar, Orang"
"Terpijak ranjau tanam merata, Batang jerami permainan paduka, Bumi hijau tanggungjawab kita, Agar bumi tidak terluka.",INTANAZHANI SMKJELAI KUALAPILAH,Penggemar Pantun,sayangi alam sekitar,jagalah bumi kita,jau,mi,jau,mi,ta,ka,ta,ka,23.0,"Terpijak, tanam, terluka., hijau, Bumi, Agar, Batang, jerami, merata,, ranjau, permainan, tidak, bumi, tanggungjawab, kita,, paduka,"
"Tanjung tuan hujung benua, Menjelang malam indahnya rasa, Bumi kian menjadi tua, Jagalah alam sebelum binasa.",Nur Alya Natasha Binti Fazrul Anwar (SMK Jelai KP)(kuala pilah),Penggemar Pantun,sayangi alam sekitar,jagalah alam sekitar,an,lam,an,lam,a,sa,a,sa,23.0,"tuan, indahnya, Jagalah, Bumi, malam, alam, tua,, Tanjung, kian, binasa., benua,, menjadi, rasa,, sebelum, hujung, Menjelang"
"Udara di bazaar berbau wangi , Juadahnya enak tidak tertahan , Bumi kita haruslah disayangi , Anugerah terindah daripada Tuhan .",INSYIRAHHISHAMUDINSMKASHAMS,Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi",Pantun 4 Kerat,zaar,nak,ta,dah,ngi,han,ngi,han,18.0,"tertahan, bazaar, di, ,, Bumi, haruslah, Anugerah, terindah, daripada, ., Tuhan, berbau, tidak, Juadahnya, wangi, kita, Udara, disayangi, enak"
"daun selasih di tepi sumur,  dipetik sudah si anak betapa, negara bersih rakyat makmur, persekitaran indah tanggung jawab semua",Harith Danish,Penggemar Pantun,sayangi alam sekitar,jagalah alam sekitar,sih,dah,sih,dah,mur,pa,mur,a,17.0,"si, semua, di, selasih, tepi, makmur,, tanggung, jawab, rakyat, persekitaran, bersih, dipetik, anak, betapa,, sumur,, negara, sudah, indah, daun"
"bayu laut menghembus sayu, dengusan bumi kuat kedengaran, cintakan alam janganlah layu, bumi hijau berlegar di fikiran",HUSNAFARHANAHSEREMBAN1,Penggemar Pantun,Sayangi Alam Sekitar,ingatan,ut,mi,lam,jau,yu,ran,yu,ran,21.0,"dengusan, janganlah, hijau, bayu, kuat, cintakan, alam, sayu,, layu,, menghembus, berlegar, kedengaran,, bumi, laut, di, fikiran"
"Indah bumi ini tidak terperi,  Menjadi bukti kurnia Ilahi, Bumi ini jangan dicemari, Kelak nanti tepuk dahi.",Nur Hafizah binti Mohamed Akram SMKA SHAMS SEREMBAN 1,Penggemar Pantun,Sayangi Alam Sekitar,4 Kerat,ni,ti,ni,ti,ri,hi,ri,hi,20.0,"nanti, jangan, Bumi, tepuk, bukti, Menjadi, dicemari,, Ilahi,, dahi., terperi,, tidak, bumi, ini, Kelak, Indah, kurnia"
"Menyelak surat menghadam matan, Ilmu setinggi puncak menara. Mendidik rakyat menyayang hutan, Mampu jagakan berlian negara.",Ilya Dalilah SMKA SHAMS,Penggemar Pantun,Sayangi alam sekitar,Jagalah alam sekitar,rat,gi,yat,kan,tan,ra,tan,ra,23.0,"surat, Ilmu, menara., berlian, negara., Mampu, rakyat, setinggi, hutan,, jagakan, menghadam, puncak, Menyelak, matan,, Mendidik, menyayang"
"Tumbuh gedangsa sepanjang jalan, Merimbun sena dalam belantara; Asingkan sisa jadikan amalan, Insan cakna jagat sejahtera",DANISH YUSRI(SEREMBAN 2),Penggemar Pantun,Jagalah Alam Sekitar,Jagalah Bumi,sa,na,sa,na,lan,ra,lan,ra,23.0,"dalam, Asingkan, Merimbun, jalan,, sena, cakna, jagat, belantara;, gedangsa, sisa, Tumbuh, sejahtera, jadikan, Insan, amalan,, sepanjang"
"Megah rupawan si burung enggang,   Datang menghinggap di pohon meranti, Setinggi awan bumi disayang,   Harus dijaga sepenuh hati.",MUHAMMAD ANIQ ZAFRAN BIN IZWAH YUDY SMKA SHAMS,Penggemar Pantun,sayangi alam sekitar,jagalah bumi kita,wan,gap,wan,ga,gang,ti,yang,ti,21.0,"bumi, Setinggi, rupawan, Datang, awan, disayang,, si, meranti,, hati., Harus, pohon, dijaga, sepenuh, Megah, menghinggap, di, burung, enggang,"
"Megah berdiri takhta adipati, Bersiul tempua diiring irama, Panorama pertiwi terbentang bersemi, Khazanah dipelihara peranan bersama.",NURUL AIN SYUHADA BINTI ZUL HUSNI,Penggemar Pantun,Sayangi alam sekitar,Jagalah bumi kita,ri,pua,wi,ra,ti,ma,mi,ma,15.0,"tempua, dipelihara, bersama., Bersiul, berdiri, diiring, terbentang, Khazanah, pertiwi, Panorama, bersemi,, irama,, peranan, Megah, adipati,, takhta"
"Padi jerami hujung dahan sana, Dibuat makan pada semasa, Jagalah bumi dengan sempurna, Agar kehidupan tidak terseksa",SYAZAADHASEREMBAN2,Penggemar Pantun,Sayangi Alam Sekitar,Pantun 4 kerat,mi,kan,mi,pan,na,sa,na,sa,22.0,"Jagalah, Dibuat, dengan, semasa,, Agar, terseksa, jerami, pada, Padi, makan, tidak, hujung, bumi, sana,, dahan, kehidupan, sempurna,"
"Bulan sirna malam berduka, Entah sakit muram merayu, Jangan dicela alam pawana, Padah satelit merakam pelaku.",NURFARAHCAMELIA_SEREMBAN2,Penggemar Pantun,Sayangi Alam Sekitar,Jagalah Alam Sekitar,na,kit,la,lit,ka,yu,na,ku,18.0,"Entah, Padah, alam, malam, merayu,, pelaku., sakit, satelit, Bulan, merakam, berduka,, dicela, Jangan, muram, pawana,, sirna"
"Sungguh indah unggas berbisik, Sekawan itik riuh berdansa; Laut menadah tumpahan toksik, Hidupan akuatik menjadi mangsa.",NURUL AIN SYAFIQAH BT MD KAMAL  (JEMPOL/JELEBU),Penggemar Pantun,SAYANGI ALAM SEKITAR,JAGALAH ALAM SEKITAR,dah,tik,dah,tik,sik,sa,sik,sa,23.0,"Hidupan, Sungguh, berdansa;, mangsa., menadah, akuatik, riuh, Laut, unggas, indah, berbisik,, itik, tumpahan, toksik,, menjadi, Sekawan"
"Membawa bekalan untuk dimakan, Singgah sebentar di kota naga, Ingatlah taulan ingatlah rakan , Alam sekitar perlu dijaga.",SITI FATIMAH BINTI WAN HIJRAH,Penggemar Pantun,SAYANGI ALAM SEKITAR,JAGALAH ALAM SEKITAR,lan,tar,lan,tar,kan,ga,kan,ga,24.0,"Membawa, bekalan, dimakan,, sebentar, Ingatlah, naga,, rakan, ,, Alam, sekitar, untuk, Singgah, taulan, perlu, ingatlah, dijaga., di, kota"
"Pergi beriadah ke Ulu Kinta, Destinasi bercuti bersama rakan, Alam indah impian kita, Bersatu hati sama zahirkan.",NUR AIN MARHANIES SMKA SHAMS,Penggemar Pantun,Sayangi Alam Sekitar,Jagalah Bumi Kita,dah,ti,dah,ti,ta,kan,ta,kan,20.0,"sama, bercuti, Ulu, Bersatu, rakan,, impian, beriadah, hati, bersama, Alam, indah, Destinasi, zahirkan., Kinta,, kita,, ke, Pergi"
